disease_id	DduftC	DgaG	D<soD	Dso>D
Q16935263	5	0	0	0
Q1693598	0	2	0	2
Q16937928	0	0	0	1
Q16938550	0	0	0	1
Q16938818	0	0	0	1
Q16939023	0	0	0	2
Q16944450	0	0	0	1
Q16944888	0	0	0	2
Q16956975	0	0	5	1
Q16957524	0	0	5	3
Q16963368	0	0	3	1
Q16964509	0	0	0	1
Q16965307	0	0	0	1
Q16966202	0	0	0	1
Q16975956	0	0	1	1
Q16977260	0	0	0	1
Q16978490	0	0	0	1
Q1698867	0	0	15	1
Q1699007	0	0	0	1
Q16992883	0	0	0	1
Q16993341	0	0	0	1
Q16994031	0	0	0	1
Q17002116	0	0	4	2
Q17002910	0	0	0	1
Q17004056	0	0	0	1
Q170082	0	0	5	1
Q170102	0	0	0	1
Q17010855	0	0	0	1
Q17010866	0	0	0	1
Q17010894	0	0	0	2
Q17012676	0	0	0	1
Q17022356	0	1	0	1
Q17022522	0	0	0	1
Q17027447	0	0	0	1
Q17028415	0	0	0	1
Q1704044	0	0	0	2
Q1704531	0	0	0	1
Q17047222	0	0	0	1
Q17048613	0	0	1	0
Q17067160	0	0	1	1
Q17074273	0	0	0	2
Q17077617	0	0	2	2
Q17077887	0	0	0	1
Q1707822	0	0	0	1
Q17083186	0	0	0	1
Q17083190	0	0	0	2
Q17083598	0	0	0	1
Q17084842	0	0	0	1
Q17085142	0	0	0	1
Q17089792	0	0	0	1
Q17094243	0	0	0	1
Q170990	3	0	7	1
Q17104923	0	0	0	1
Q17114216	0	0	1	1
Q1711744	1	0	0	1
Q17118937	0	0	0	1
Q17119115	0	0	0	1
Q17119372	1	0	0	1
Q17120550	0	0	0	1
Q17121503	0	0	2	3
Q1712213	0	0	1	1
Q17122800	0	0	0	1
Q17125239	0	0	0	1
Q17125601	0	0	0	1
Q17126784	0	0	0	1
Q1713037	0	1	0	2
Q17130620	0	0	1	0
Q17132235	0	0	0	1
Q1713499	0	0	0	1
Q17139523	0	0	0	1
Q17141201	14	0	0	0
Q17141594	0	0	0	1
Q17143593	0	0	0	1
Q17143640	0	0	1	1
Q17144153	0	0	0	2
Q17144188	0	0	0	1
Q17144875	0	0	0	1
Q17145626	0	0	0	1
Q17145912	0	0	0	1
Q17147280	1	0	0	1
Q17147306	0	0	0	1
Q17147649	0	0	0	1
Q17148148	0	0	0	1
Q17149181	0	0	0	1
Q17151226	0	0	0	1
Q17152512	0	0	0	1
Q17152566	0	0	8	2
Q17153517	0	0	0	1
Q17153898	0	0	2	0
Q17155571	0	0	0	1
Q17156861	0	0	0	1
Q17157137	0	0	0	1
Q17162726	0	0	0	1
Q17163513	0	0	0	1
Q17164695	0	0	0	1
Q17165460	0	0	0	1
Q17177467	0	0	0	1
Q1718432	0	0	0	1
Q17232521	0	0	0	1
Q172341	17	3	13	1
Q1725245	0	0	0	1
Q172941	14	0	7	1
Q17300307	0	0	0	1
Q173022	0	0	0	1
Q1736456	0	0	0	1
Q1737261	0	0	6	1
Q1739759	0	0	0	1
Q1741965	0	0	0	1
Q174589	1	0	0	0
Q1747089	0	0	1	1
Q1747726	0	0	0	1
Q174857	0	0	1	1
