compound_id	CduftD	CpiwP	CsdiC	C<hpC	C<ioC	Chp>C	Cio>C
Q1722251	0	0	0	0	0	2	0
Q172290	0	0	0	0	1	0	0
Q172411	0	0	0	0	0	1	0
Q172422	0	0	0	0	0	1	0
Q172498	0	0	0	0	0	1	0
Q172914	0	0	0	0	0	1	0
Q172925	0	0	0	0	0	1	0
Q172949	0	0	0	0	0	1	0
Q17310956	0	0	0	0	0	1	0
Q17315570	0	0	0	0	0	1	0
Q17315692	0	0	0	0	0	1	0
Q17318444	0	0	0	0	0	1	0
Q17318503	0	0	0	0	0	1	0
Q17320311	0	0	0	0	0	1	0
Q17320428	0	0	0	0	0	1	0
Q17320469	0	0	0	0	0	2	0
Q17320470	0	0	0	0	0	1	0
Q17320479	0	0	0	0	0	1	0
Q17325760	0	0	0	0	0	1	0
Q17325761	0	0	0	0	0	1	0
Q17325762	0	0	0	0	0	1	0
Q17326103	0	0	0	0	0	1	0
Q17333052	0	0	0	0	0	1	0
Q17333188	0	0	0	0	0	1	0
Q17333369	0	0	0	0	0	1	0
Q17333539	0	0	0	0	0	1	0
Q17334058	0	0	0	0	0	1	0
Q17334691	0	0	0	0	0	1	0
Q17334745	0	0	0	0	0	1	0
Q17334756	0	0	0	0	0	1	0
Q17334950	0	0	0	0	0	1	0
Q17334964	0	0	0	0	0	1	0
Q17337226	0	0	0	0	0	1	0
Q17337266	0	0	0	0	0	1	0
Q17337502	0	0	0	0	0	1	0
Q17337524	0	0	0	0	0	1	0
Q17337575	0	0	0	0	0	1	0
Q17337578	0	0	0	0	0	1	0
Q17337583	0	0	0	0	0	1	0
Q17337614	0	0	0	0	0	1	0
Q17349755	0	0	0	0	0	1	0
Q17350422	0	0	0	0	0	1	0
Q17351053	0	0	0	0	0	1	0
Q17351073	0	0	0	0	0	2	0
Q17352129	0	0	0	0	0	1	0
Q17352155	0	0	0	0	0	1	0
Q17352167	0	0	0	0	0	1	0
Q17352172	0	0	0	0	0	1	0
Q17361161	0	0	0	0	0	1	0
Q17374115	0	0	0	0	0	1	0
Q17375284	0	0	0	0	0	1	0
Q17375357	0	0	0	0	0	1	0
Q17375861	0	0	0	0	0	1	0
Q17378395	0	0	0	0	0	1	0
Q17389057	0	0	0	0	0	1	0
Q17397740	0	0	0	0	0	1	0
Q17419195	0	0	0	0	0	1	0
Q17424851	0	0	0	0	0	1	0
