compound_treats	disease_treats	prior_perm	prior_perm_stderr	n_treatments	n_possible
6	3	0.00608652	1.80943e-06	7	2508
6	4	0.00810883	2.69479e-06	9	1520
6	5	0.010136	3.68019e-06	9	1026
6	6	0.0121625	3.93123e-06	15	1064
6	7	0.0141791	5.05065e-06	13	760
6	8	0.0162147	5.37081e-06	9	760
6	9	0.0182314	8.60808e-06	12	342
6	10	0.0202633	8.16197e-06	8	418
6	11	0.0222599	2.03416e-05	5	76
6	12	0.0242917	1.3343e-05	2	190
6	13	0.0263233	1.38602e-05	7	190
6	14	0.0283135	1.05805e-05	13	342
6	15	0.0303414	1.35015e-05	8	228
6	16	0.0323571	1.71477e-05	4	152
6	17	0.0343985	1.2332e-05	11	304
6	18	0.0364029	2.58104e-05	1	76
6	19	0.038408	2.15169e-05	3	114
6	20	0.040392	1.90356e-05	7	152
6	21	0.0423951	3.9409e-05	1	38
6	22	0.0444364	2.83706e-05	3	76
6	24	0.0484956	4.20017e-05	4	38
6	25	0.0504418	4.27482e-05	1	38
6	26	0.0523922	4.35058e-05	2	38
6	27	0.0544429	3.12168e-05	3	76
6	34	0.0684013	3.46753e-05	3	76
6	38	0.0763895	5.18364e-05	5	38
6	39	0.0784701	5.25418e-05	3	38
6	50	0.099937	5.87699e-05	7	38
6	55	0.109776	6.11723e-05	7	38
6	57	0.11367	6.21663e-05	4	38
6	61	0.121523	6.39285e-05	1	38
6	82	0.161601	7.20548e-05	6	38
7	1	0.0023792	8.18004e-07	15	4860
7	2	0.00475745	1.84689e-06	5	1940
7	3	0.00713387	2.73273e-06	11	1320
7	4	0.009503	4.08391e-06	10	800
7	5	0.0118777	5.57112e-06	5	540
7	6	0.0142356	5.95788e-06	7	560
7	7	0.016612	7.62553e-06	7	400
7	8	0.0189699	8.13268e-06	8	400
7	9	0.0213198	1.30162e-05	4	180
7	10	0.0236734	1.23262e-05	3	220
7	11	0.0260327	3.07777e-05	0	40
7	12	0.028379	2.01865e-05	1	100
7	13	0.0307485	2.09823e-05	3	100
7	14	0.0330686	1.59964e-05	5	180
7	15	0.035423	2.0392e-05	3	120
7	16	0.0377529	2.58764e-05	2	80
7	17	0.0400618	1.85657e-05	9	160
7	18	0.0423873	3.88181e-05	1	40
7	19	0.0447561	3.24418e-05	2	60
7	20	0.0470653	2.86936e-05	9	80
7	21	0.049436	5.93701e-05	2	20
7	22	0.0517011	4.27205e-05	3	40
7	24	0.056203	6.3045e-05	1	20
7	25	0.0586655	6.42333e-05	0	20
7	26	0.0609907	6.55295e-05	1	20
7	27	0.0633051	4.69562e-05	2	40
7	34	0.0793268	5.20725e-05	4	40
7	38	0.0884308	7.77274e-05	2	20
7	39	0.0906745	7.86542e-05	3	20
7	50	0.115467	8.75751e-05	1	20
7	55	0.126515	9.12123e-05	1	20
7	57	0.130759	9.24828e-05	2	20
7	61	0.139468	9.49648e-05	4	20
7	82	0.184264	0.000106255	4	20
8	1	0.0027347	7.91881e-07	11	5832
8	2	0.00545924	1.78876e-06	16	2328
8	3	0.0081868	2.64837e-06	8	1584
8	4	0.0109044	3.95152e-06	11	960
8	5	0.0136318	5.38905e-06	12	648
8	6	0.0163344	5.75869e-06	10	672
8	7	0.0190333	7.37108e-06	8	480
8	8	0.021734	7.8541e-06	8	480
8	9	0.0244389	1.25681e-05	6	216
8	10	0.0271173	1.19053e-05	5	264
8	11	0.02979	2.96507e-05	0	48
8	12	0.0324552	1.94558e-05	4	120
8	13	0.0351533	2.01799e-05	7	120
8	14	0.0378187	1.54355e-05	9	216
8	15	0.0404934	1.96763e-05	7	144
8	16	0.0431576	2.48995e-05	7	96
8	17	0.0458101	1.79318e-05	14	192
8	18	0.0484602	3.75061e-05	1	48
8	19	0.0510704	3.12744e-05	3	72
8	20	0.0537027	2.76411e-05	7	96
8	21	0.0563473	5.71194e-05	3	24
8	22	0.0589069	4.11042e-05	1	48
8	24	0.0642317	6.07188e-05	0	24
8	25	0.0668389	6.19319e-05	2	24
8	26	0.069407	6.30169e-05	2	24
8	27	0.0719942	4.50614e-05	3	48
8	34	0.0900215	4.99517e-05	6	48
8	38	0.100253	7.43752e-05	5	24
8	39	0.102753	7.5312e-05	3	24
8	50	0.130166	8.34966e-05	1	24
8	55	0.142483	8.67508e-05	3	24
8	57	0.147489	8.80222e-05	5	24
8	61	0.157219	9.04892e-05	1	24
8	82	0.20637	0.000100645	3	24
9	1	0.00309013	1.11684e-06	13	3402
9	2	0.00617394	2.51736e-06	8	1358
9	3	0.00925243	3.72553e-06	7	924
9	4	0.012315	5.56012e-06	4	560
9	5	0.0153886	7.58029e-06	7	378
9	6	0.0184342	8.09357e-06	4	392
9	7	0.0214795	1.03893e-05	8	280
9	8	0.024515	1.10367e-05	9	280
9	9	0.0275474	1.76675e-05	3	126
9	10	0.0305836	1.6736e-05	3	154
9	11	0.0335896	4.16892e-05	1	28
9	12	0.0365966	2.73117e-05	3	70
9	13	0.0396006	2.83672e-05	1	70
9	14	0.0425792	2.1634e-05	3	126
9	15	0.0455125	2.75758e-05	7	84
9	16	0.0484707	3.49497e-05	1	56
9	17	0.0515233	2.50799e-05	5	112
9	18	0.0544133	5.25016e-05	2	28
9	19	0.0574333	4.37272e-05	3	42
9	20	0.0603392	3.86698e-05	5	56
